Run ID,District Number,Total Costs,Run Time
25,1,40057,0.09042096138000488
26,1,45646,0.05037522315979004
27,1,37753,0.024829864501953125
28,1,41956,0.056500911712646484
29,1,46564,0.04764223098754883
30,1,40057,0.09582400321960449
31,1,40336,0.04674410820007324
32,1,44134,0.0747380256652832
33,1,44269,0.07464766502380371
34,1,44746,0.05908513069152832
35,1,40336,0.08661413192749023
36,1,45457,0.060159921646118164
37,1,43504,0.03345823287963867
38,1,42181,0.033048152923583984
39,1,41182,0.0746760368347168
40,1,40093,0.0767056941986084
41,1,43270,0.02651500701904297
42,1,44377,0.06365776062011719
43,1,40129,0.05385875701904297
44,1,43216,0.03842306137084961
45,1,44143,0.03138089179992676
46,1,42136,0.06893420219421387
47,1,44188,0.030884981155395508
48,1,37987,0.032248735427856445
49,1,41479,0.06673407554626465
50,1,40345,0.09136414527893066
51,1,47239,0.06427693367004395
52,1,43909,0.04774212837219238
53,1,47338,0.0800173282623291
54,1,46267,0.03050088882446289
55,1,45070,0.03509974479675293
56,1,41038,0.0718088150024414
57,1,46942,0.05110931396484375
58,1,43909,0.025127172470092773
59,1,42388,0.04693293571472168
60,1,41020,0.028413772583007812
61,1,41821,0.09044575691223145
62,1,45898,0.03712320327758789
63,1,41362,0.0446782112121582
64,1,41137,0.07059884071350098
65,1,40372,0.05004692077636719
66,1,43486,0.015774965286254883
67,1,43936,0.018545150756835938
68,1,45889,0.05727791786193848
69,1,43639,0.026256084442138672
70,1,44683,0.055249691009521484
71,1,38257,0.08180618286132812
72,1,42604,0.044654130935668945
73,1,47041,0.0777430534362793
74,1,45835,0.06396794319152832
75,1,47374,0.05824422836303711
76,1,45268,0.07601499557495117
77,1,47878,0.027228832244873047
78,1,37510,0.03266191482543945
79,1,37240,0.04289889335632324
80,1,47185,0.07062411308288574
81,1,40057,0.09042215347290039
82,1,38455,0.08414793014526367
83,1,44341,0.06429910659790039
84,1,43432,0.05644989013671875
85,1,42874,0.0431520938873291
86,1,43900,0.03433585166931152
87,1,40093,0.06415891647338867
88,1,39355,0.08118224143981934
89,1,38617,0.030328035354614258
90,1,43054,0.039273977279663086
91,1,37240,0.06446576118469238
92,1,42964,0.07375001907348633
93,1,40057,0.06074213981628418
94,1,41866,0.06397223472595215
95,1,45610,0.05561494827270508
96,1,47077,0.07304787635803223
97,1,44071,0.04198408126831055
98,1,40057,0.09214591979980469
99,1,41848,0.07016587257385254
100,1,44422,0.05530095100402832
101,1,40066,0.0676259994506836
102,1,44503,0.039405107498168945
103,1,43180,0.038655996322631836
104,1,41560,0.03122401237487793
105,1,44881,0.04955291748046875
106,1,40345,0.09419798851013184
107,1,43459,0.03731083869934082
108,1,43153,0.08086323738098145
109,1,44080,0.05394315719604492
110,1,40615,0.09656810760498047
111,1,38950,0.07343697547912598
112,1,38356,0.029432058334350586
113,1,40336,0.039109230041503906
114,1,45880,0.06000709533691406
115,1,42721,0.0562288761138916
116,1,44944,0.06263613700866699
117,1,38257,0.07852792739868164
118,1,46141,0.05454063415527344
119,1,42928,0.04578375816345215
120,1,38455,0.07768392562866211
121,1,42298,0.05707097053527832
122,1,41578,0.030460834503173828
123,1,44935,0.0480649471282959
124,1,47068,0.032425880432128906
125,1,40615,0.08605694770812988
126,1,43351,0.05116009712219238
127,1,47860,0.061995744705200195
128,1,40309,0.04832887649536133
129,1,40336,0.09489893913269043
130,1,44872,0.02643585205078125
131,1,40057,0.0865929126739502
132,1,40057,0.05880904197692871
133,1,42469,0.04791593551635742
134,1,43702,0.041921138763427734
135,1,45259,0.03744626045227051
136,1,44701,0.051444053649902344
137,1,44944,0.06325292587280273
138,1,44368,0.07491207122802734
139,1,41821,0.024528980255126953
140,1,45493,0.06224203109741211
141,1,37978,0.06482410430908203
142,1,38113,0.030478715896606445
143,1,39643,0.07808589935302734
144,1,42316,0.0535130500793457
145,1,42136,0.08344221115112305
146,1,47041,0.04113888740539551
147,1,44782,0.06569290161132812
148,1,41650,0.057817935943603516
149,1,40525,0.0481419563293457
150,1,45349,0.023474931716918945
151,1,44386,0.030111074447631836
152,1,45664,0.054656028747558594
153,1,47500,0.033319950103759766
154,1,45349,0.032670021057128906
155,1,47500,0.031777143478393555
156,1,42550,0.0795130729675293
157,1,43981,0.02943897247314453
158,1,46114,0.06279706954956055
159,1,43963,0.052765846252441406
160,1,46114,0.07978510856628418
161,1,46357,0.06814956665039062
162,1,47653,0.04846811294555664
163,1,41938,0.02263498306274414
164,1,37987,0.0413060188293457
165,1,38257,0.06420207023620605
166,1,42145,0.07394981384277344
167,1,44917,0.020241975784301758
168,1,38113,0.03758382797241211
169,1,46375,0.07964110374450684
170,1,44800,0.07571291923522949
171,1,42055,0.06735706329345703
172,1,44647,0.04350900650024414
173,1,40561,0.06238079071044922
174,1,37240,0.03834962844848633
175,1,42523,0.03506922721862793
176,1,44152,0.03412485122680664
177,1,45889,0.04078316688537598
178,1,40345,0.06884908676147461
179,1,48094,0.05286908149719238
180,1,43441,0.028789997100830078
181,1,45196,0.05836892127990723
182,1,43432,0.03666996955871582
183,1,37240,0.05021405220031738
184,1,44071,0.04269075393676758
185,1,39913,0.06339597702026367
186,1,43900,0.060873985290527344
187,1,40057,0.055928945541381836
188,1,40309,0.06216788291931152
189,1,40399,0.09716796875
190,1,37483,0.07124900817871094
191,1,45124,0.06428909301757812
192,1,37987,0.04256892204284668
193,1,40066,0.0553441047668457
194,1,43621,0.05719399452209473
195,1,44305,0.04865288734436035
196,1,43702,0.028914928436279297
197,1,42352,0.022534847259521484
198,1,42388,0.05135202407836914
199,1,45808,0.035576820373535156
200,1,44602,0.04019880294799805
201,1,44800,0.03553199768066406
202,1,41614,0.04929995536804199
203,1,40831,0.0670158863067627
204,1,45493,0.03428936004638672
205,1,45673,0.024103879928588867
206,1,45115,0.0613858699798584
207,1,46447,0.06314897537231445
208,1,44944,0.04347801208496094
209,1,45322,0.04531383514404297
210,1,46384,0.05703592300415039
211,1,43369,0.05490374565124512
212,1,44701,0.06794404983520508
213,1,46474,0.07570791244506836
214,1,42145,0.08182096481323242
215,1,45079,0.05907320976257324
216,1,42496,0.04817700386047363
217,1,45295,0.04759788513183594
218,1,40057,0.08427906036376953
219,1,37753,0.07256913185119629
220,1,41119,0.06607294082641602
221,1,38320,0.08472084999084473
222,1,44080,0.0780632495880127
223,1,46699,0.0705118179321289
224,1,41065,0.05666327476501465
225,1,43243,0.03639388084411621
226,1,44098,0.03329777717590332
227,1,41461,0.053540706634521484
228,1,40660,0.02618122100830078
229,1,40057,0.05164504051208496
230,1,42856,0.030460834503173828
231,1,39931,0.05703902244567871
232,1,45187,0.038023948669433594
233,1,40615,0.05147600173950195
234,1,44836,0.07292532920837402
235,1,43945,0.054949045181274414
236,1,46186,0.06844186782836914
237,1,37978,0.056838035583496094
238,1,41074,0.03203105926513672
239,1,37987,0.07402491569519043
240,1,42694,0.061412811279296875
241,1,43342,0.053476810455322266
242,1,45610,0.06918764114379883
